City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
213,boo,8,NG,1520907035,87,7.44,8.9,76.5,11.43
214,hami,0,CN,1520907007,58,42.84,93.51,54.09,7.63
215,zhanaozen,0,KZ,1520907037,74,43.35,52.85,18.81,5.84
216,beipiao,0,CN,1520907037,50,41.8,120.76,58.95,11.21
217,airai,56,TL,1520907038,71,-8.93,125.41,81.09,2.37
218,bathsheba,40,BB,1520906400,83,13.22,-59.52,78.8,20.8
219,batangafo,0,CF,1520907039,63,7.3,18.29,79.2,12.33
220,nicoya,0,CR,1520906400,58,10.15,-85.45,84.2,6.93
221,yulara,0,AU,1520902800,20,-25.24,130.99,87.8,16.11
222,luanda,20,AO,1520902800,83,-8.83,13.24,77.0,2.24
223,parchim,90,DE,1520905800,93,53.43,11.85,44.6,5.82
224,flinders,90,AU,1520902800,68,-34.58,150.85,66.2,6.93
225,bambous virieux,40,MU,1520902800,74,-20.34,57.76,80.6,16.11
226,ziduri,32,RO,1520907043,89,45.29,27.08,48.6,7.74
227,fort collins,75,US,1520904960,27,40.55,-105.07,51.8,6.4
228,bud,0,NO,1520904000,100,62.91,6.91,33.8,6.93
229,barahona,92,DO,1520906915,96,18.21,-71.1,78.57,6.51
230,koulikoro,0,ML,1520904600,62,12.86,-7.56,84.2,3.36
231,kolokani,12,ML,1520907046,29,13.58,-8.03,74.07,10.2
232,karpathos,68,GR,1520904000,87,35.51,27.21,60.8,16.11
233,buraydah,5,SA,1520902800,48,26.33,43.97,64.4,8.05
234,sfantu gheorghe,75,RO,1520904600,93,44.65,26.83,46.4,8.05
235,rock sound,8,BS,1520907048,100,24.9,-76.2,74.25,21.83
236,ust-maya,8,RU,1520907048,63,60.42,134.54,-0.1,3.71
237,kavieng,80,PG,1520907049,100,-2.57,150.8,81.54,10.65
238,beisfjord,0,NO,1520904000,85,68.38,17.6,10.4,2.93
239,sitka,0,US,1520907050,47,37.17,-99.65,40.5,8.19
240,karratha,0,AU,1520907051,47,-20.74,116.85,92.79,4.27
241,komsomolskiy,76,RU,1520907053,78,67.55,63.78,10.62,5.95
242,tezu,64,IN,1520906893,57,27.93,96.16,58.68,0.92
243,mazagao,0,BR,1520906400,100,-0.12,-51.29,78.8,6.93
244,maamba,92,ZM,1520907056,99,-17.36,27.22,65.43,4.5
245,jinchang,0,CN,1520907012,79,38.52,102.19,48.15,4.16
246,cravo norte,0,CO,1520907057,45,6.3,-70.2,85.77,6.96
247,kieta,76,PG,1520907013,100,-6.22,155.63,81.45,3.6
248,kiruna,76,SE,1520904000,92,67.86,20.23,5.0,1.12
249,santa marta,40,CO,1520902800,94,11.24,-74.21,80.6,9.17
250,escanaba,40,US,1520902560,63,45.75,-87.06,28.4,9.17
251,margate,40,AU,1520904600,46,-43.03,147.26,69.8,11.41
252,iralaya,68,HN,1520907060,92,15.0,-83.23,78.21,5.61
253,ferrol,92,ES,1520904600,87,43.48,-8.23,44.6,4.7
254,majene,32,ID,1520907062,100,-3.54,118.97,83.25,3.15
255,borgarnes,0,IS,1520906400,54,64.54,-21.92,30.2,5.82
256,sorrento,0,AU,1520904600,33,-31.82,115.75,86.0,18.34
257,coos bay,40,US,1520904900,82,43.37,-124.22,57.2,8.05
258,harper,1,US,1520905860,40,30.3,-99.24,57.2,5.82
259,ninghai,0,CN,1520902800,72,29.29,121.42,64.4,6.71
260,ballitoville,0,ZA,1520907066,92,-29.54,31.21,63.99,1.59
261,hobyo,12,SO,1520907067,89,5.35,48.53,77.49,8.41
262,marsh harbour,0,BS,1520907015,100,26.54,-77.06,71.55,24.74
263,lazaro cardenas,20,MX,1520905320,33,28.39,-105.62,57.2,9.17
264,verkhnyaya inta,68,RU,1520907069,71,65.99,60.32,19.44,9.19
265,clyde river,90,CA,1520902800,82,70.47,-68.59,-18.41,3.36
266,dharchula,8,IN,1520907070,57,29.85,80.53,37.8,2.04
267,uvira,64,CD,1520907070,100,-3.41,29.14,60.39,3.6
268,gornopravdinsk,56,RU,1520907071,75,60.06,69.92,3.33,7.63
269,gondanglegi,92,ID,1520907072,82,-7.75,112.01,77.49,4.05
270,lachhmangarh,0,IN,1520907073,28,27.82,75.03,73.26,4.38
271,bethel,1,US,1520902380,78,60.79,-161.76,15.8,6.93
272,naifaru,92,MV,1520907074,100,5.44,73.37,77.58,9.86
273,necochea,92,AR,1520907075,62,-38.55,-58.74,64.17,14.67
274,xining,0,CN,1520907076,31,36.62,101.77,44.91,3.15
275,lagos,20,NG,1520902800,83,6.46,3.39,82.4,3.36
276,novo aripuana,8,BR,1520907077,88,-5.12,-60.38,77.85,2.82
277,sobolevo,92,RU,1520907077,97,54.43,31.9,35.1,20.49
278,palmer,75,AU,1520904600,43,-34.85,139.16,69.8,10.29
279,livingstone,8,ZW,1520907078,86,-17.85,25.86,69.48,11.54
280,kattivakkam,40,IN,1520904600,88,13.22,80.32,80.6,3.36
281,ca mau,32,VN,1520907079,73,9.18,105.15,85.59,11.54
282,ostersund,80,SE,1520904000,92,63.18,14.64,23.0,6.93
283,priyutnoye,0,RU,1520904600,92,46.1,43.51,17.6,11.18
284,esperance,20,TT,1520902800,78,10.24,-61.45,77.0,4.7
285,gigmoto,8,PH,1520907081,95,13.78,124.39,81.54,12.33
286,port-gentil,68,GA,1520907082,98,-0.72,8.78,81.0,3.71
287,cap malheureux,40,MU,1520902800,74,-19.98,57.61,80.6,16.11
288,coihaique,20,CL,1520906400,70,-45.58,-72.07,44.6,3.36
289,constitucion,5,MX,1520905440,12,23.99,-104.67,75.2,10.09
290,katsuura,0,JP,1520902800,50,33.93,134.5,55.4,4.7
291,victoria,75,BN,1520904600,79,5.28,115.24,86.0,3.36
292,jumla,0,NP,1520907086,70,29.28,82.18,26.37,2.15
293,umm lajj,0,SA,1520907086,100,25.02,37.27,60.48,4.16
294,suntar,44,RU,1520907087,63,62.16,117.65,3.51,3.83
295,sarkand,92,KZ,1520907087,100,45.41,79.91,39.69,4.38
296,taksimo,48,RU,1520907088,43,56.36,114.84,9.72,2.93
297,husavik,0,CA,1520907088,65,50.56,-96.99,6.21,3.15
298,bilma,0,NE,1520907089,26,18.69,12.92,58.77,2.71
299,hudiksvall,92,SE,1520907089,98,61.73,17.1,30.42,12.44
300,esso,48,RU,1520907090,72,55.93,158.7,7.92,4.16
301,chase,75,US,1520905080,74,43.89,-85.64,32.0,5.82
302,mahebourg,40,MU,1520902800,74,-20.41,57.7,80.6,16.11
303,aliaga,40,PH,1520902800,61,15.5,120.85,78.8,4.7
304,mercedes,12,UY,1520907092,67,-33.25,-58.03,59.58,7.52
305,nhulunbuy,75,AU,1520904600,94,-12.18,136.78,77.0,5.82
306,kaitangata,44,NZ,1520907048,56,-46.28,169.85,55.89,22.5
307,buala,80,SB,1520907093,94,-8.15,159.59,82.53,4.61
308,sola,90,FI,1520905800,100,62.78,29.36,28.4,8.05
309,general roca,0,AR,1520906400,33,-39.03,-67.58,59.0,12.75
310,vaitape,48,PF,1520907095,100,-16.52,-151.75,80.82,10.42
311,labuhan,92,ID,1520907096,97,-2.54,115.51,73.71,2.71
312,areia branca,40,BR,1520906400,88,-10.76,-37.31,80.6,9.17
313,bodden town,20,KY,1520902800,83,19.28,-81.25,80.6,1.7
314,saint-pierre,75,FR,1520904600,93,48.95,4.24,46.4,21.92
315,caluquembe,8,AO,1520907101,74,-13.78,14.68,51.66,2.15
316,broken hill,0,AU,1520907065,34,-31.97,141.45,78.03,14.23
317,maun,24,BW,1520907102,56,-19.99,23.42,68.67,12.88
318,sheltozero,92,RU,1520907103,93,61.37,35.37,31.23,12.77
319,namibe,0,AO,1520907011,100,-15.19,12.15,74.25,10.54
320,chalmette,1,US,1520904900,53,29.94,-89.96,60.8,5.82
321,nuuk,76,GL,1520905800,100,64.17,-51.74,15.8,5.82
322,kirakira,92,SB,1520907105,100,-10.46,161.92,82.35,11.43
323,dali,0,CN,1520907106,74,25.6,100.24,55.26,1.81
324,gamba,0,CN,1520907107,77,28.28,88.52,13.41,6.06
325,pore,0,CO,1520907107,71,5.73,-71.99,68.49,2.71
326,sampit,92,ID,1520907108,96,-2.54,112.95,78.93,2.59
327,nishihara,0,JP,1520904600,50,35.74,139.53,53.6,3.36
328,galle,1,US,1520905860,37,29.74,-97.91,57.2,4.7
329,puerto suarez,24,BO,1520907109,81,-18.96,-57.8,80.73,4.16
330,gizo,20,IL,1520904000,82,31.8,34.94,55.4,2.24
331,san nicolas,0,HN,1520907110,82,14.94,-88.33,67.32,1.81
332,rawson,0,AR,1520907111,30,-43.3,-65.11,58.32,20.83
333,talara,48,PE,1520907111,81,-4.58,-81.27,73.89,7.52
334,vestmanna,88,FO,1520905800,55,62.16,-7.17,39.2,19.46
335,vermilion,20,CA,1520902800,73,53.35,-110.85,26.6,6.93
336,springdale,5,US,1520906280,80,36.19,-94.13,35.6,6.93
337,sur,0,OM,1520907114,92,22.57,59.53,74.61,8.75
338,davenport,1,US,1520904900,51,41.52,-90.58,35.6,13.87
339,touros,92,BR,1520906967,81,-5.2,-35.46,81.54,6.62
340,taltal,0,CL,1520907001,97,-25.41,-70.49,52.83,1.48
341,medea,20,DZ,1520904600,81,36.27,2.77,48.2,4.7
342,bukachacha,0,RU,1520907116,44,52.99,116.91,21.87,6.62
343,shimoda,20,JP,1520902800,66,34.7,138.93,53.6,3.36
344,praia,0,BR,1520902800,60,-20.25,-43.81,75.2,3.36
345,marsabit,20,KE,1520907117,64,2.34,37.99,73.26,8.19
346,ayan,44,TR,1520907118,79,40.67,33.6,30.15,2.59
347,codrington,48,AU,1520907118,83,-28.95,153.24,72.99,6.62
348,mackay,20,CA,1520902800,36,53.65,-115.58,48.2,10.29
349,klaksvik,88,FO,1520904000,55,62.23,-6.59,39.2,18.34
350,vestmannaeyjar,88,IS,1520907120,97,63.44,-20.27,34.2,17.02
351,mudgee,0,AU,1520907120,80,-32.6,149.59,75.33,9.08
352,longfeng,20,CN,1520902800,82,31.05,103.87,60.8,2.59
353,dubasari,90,MD,1520904600,87,47.26,29.16,42.8,14.99
354,ilulissat,88,GL,1520905800,71,69.22,-51.1,6.8,1.12
355,moerai,44,PF,1520907123,100,-22.43,-151.33,80.37,9.08
356,hendaye,40,FR,1520904600,76,43.37,-1.77,50.0,4.7
357,saint george,20,GR,1520902200,62,39.45,22.34,55.4,13.87
358,aklavik,40,CA,1520902800,66,68.22,-135.01,12.2,3.6
359,balclutha,44,NZ,1520907124,56,-46.24,169.74,55.89,22.5
360,honiara,90,SB,1520902800,79,-9.43,159.96,84.2,8.05
361,port augusta,0,AU,1520902800,59,-32.49,137.76,66.2,14.99
362,russell,0,AR,1520906400,46,-33.01,-68.8,73.4,3.6
363,noumea,92,NC,1520906400,62,-22.28,166.46,86.0,8.05
364,fillan,20,NO,1520905800,85,63.6,8.98,24.8,4.7
365,mbaiki,92,CF,1520907128,97,3.87,17.99,70.56,3.83
366,narsaq,0,GL,1520905800,67,60.91,-46.05,21.2,4.27
367,port moresby,75,PG,1520902800,79,-9.47,147.16,84.2,5.82
368,pangnirtung,64,CA,1520907129,73,66.15,-65.72,0.45,1.92
369,bagdarin,0,RU,1520907129,39,54.44,113.59,10.98,7.63
370,ankazoabo,0,MG,1520907130,73,-22.29,44.51,68.94,3.49
371,petropavlovsk-kamchatskiy,48,RU,1520904600,48,53.05,158.65,21.2,2.24
372,yendi,12,GH,1520907130,79,9.45,0.0,74.43,9.98
373,alofi,75,NU,1520906400,70,-19.06,-169.92,86.0,12.75
374,andros town,75,BS,1520906400,65,24.73,-77.79,78.8,11.41
375,meulaboh,0,ID,1520907038,100,4.14,96.13,82.89,2.82
376,piedecuesta,40,CO,1520906400,83,6.99,-73.05,73.4,4.7
377,port lincoln,0,AU,1520906844,85,-34.72,135.86,67.5,11.54
